Name,Latitude,Longitude
Thamesmead Health Centre,51.4988157,0.0899246
Court Yard Surgery,51.4493529,0.0508779
The Carnaby Laser Clinic,51.4824867,-0.0188626
Eltham Medical Centre,51.4573639,0.0505401
Rose Valley Medical Centre,51.4728584,0.0453366
Vanbrugh Group Practice,51.4855219,0.0084044
Sarah Crawford Advanced Aesthetics,51.4767627,0.0209086
Blackheath Standard Surgery,51.4781356,0.0198692
Clover Health Centre,51.4902336,0.0686395
Royal Arsenal Medical Centre,51.4923732,0.0734853
